Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
TIC 150431920,56.22094975699845,0.2275104944436456,10,2,0,,notEB,[ 0.2998908  0.6454959 10.866575   1.2415928  0.8404061],/astro/store/epyc2/projects2/tess/sector006/tess2018349182459-s0006-0000000150431920-0126-s_lc.fits
TIC 150431920,49.95131702169167,0.06818995290661126,10,2,0,,notEB,[ 1.0068054   0.37212557 10.08908     0.7702618   0.39949572],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000150431920-0131-s_lc.fits
TIC 150431920,96.76189336806273,0.2096097488652977,6,3,0,,notEB,[2.469613  2.881871  6.5471387 2.999744  1.7678573],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000150431920-0136-s_lc.fits
TIC 150431920,234.61745674986855,0.04521862832590241,2,1,0,,notEB,[1.4972262  1.1035017  2.1226053  0.59735304 0.91821015],/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000150431920-0139-s_lc.fits
TIC 150431920,35.34523868905957,0.1319439725886302,25,6,0,,notEB,[ 0.8821008   2.4344096  25.130238    0.14624725  2.4056017 ],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000150431920-0140-s_lc.fits
TIC 150431920,246.5052793609008,0.026076548570068244,27,16,0,,EB,[12.826956 13.48012  27.122334 11.991835 15.796362],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000150431920-0143-s_lc.fits
TIC 150431920,7.038427883333943,0.1502745727285388,17,3,0,,notEB,[ 0.2196924  0.5896337 17.149786   0.4546895  0.6095171],/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000150431920-0144-s_lc.fits
TIC 150431920,604.5427934795789,0.3648984340096825,19,4,0,,notEB,[ 0.37163657  0.03063196 19.20725     0.22268575  0.1088097 ],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000150431920-0146-s_lc.fits
TIC 279955276,17.607571693840846,0.1126586042257712,3,2,0,,notEB,[2.9073608 2.974103  3.037247  2.9484293 2.948106 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000279955276-0120-s_lc.fits
TIC 279955276,2315.8696144242504,0.2592811918607124,3,3,0,,EB,[3.4343226 3.432191  3.5121362 3.48232   3.415018 ],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000279955276-0121-s_lc.fits
TIC 279955276,74.69708505914566,0.03812822753987327,2,2,0,,notEB,[2.6911442 2.726446  2.9081016 2.8880854 2.850234 ],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000279955276-0123-s_lc.fits
TIC 279955276,17.471054220962422,0.02396544863121423,3,2,0,,notEB,[2.9032497 2.8592741 3.0315282 2.9175804 2.8536355],/astro/store/epyc2/projects2/tess/sector004/tess2018292075959-s0004-0000000279955276-0124-s_lc.fits
TIC 279955276,88.55340944979919,0.1874640675743507,2,2,0,,notEB,[2.8990693 2.935555  2.9532855 2.9087067 2.8953607],/astro/store/epyc2/projects2/tess/sector005/tess2018319095959-s0005-0000000279955276-0125-s_lc.fits
TIC 279955276,1706.098621202228,0.28356010604633497,3,3,0,,EB,[3.1465566 3.2911668 3.2931957 3.185102  3.2593436],/astro/store/epyc2/projects2/tess/sector006/tess2018349182459-s0006-0000000279955276-0126-s_lc.fits
TIC 279955276,799.3025378786048,0.38186790731891945,3,3,0,,notEB,[3.3478904 3.3089108 3.4436076 3.3505454 3.2947202],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000279955276-0131-s_lc.fits
TIC 279955276,29.699945159519103,0.41276366223379796,5,5,1,,notEB,[5.18902509 5.33707974 5.42417367 5.30670697 5.08941852],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000279955276-0131-s_lc.fits
TIC 279955276,234.61745674986855,0.04521862832590241,2,2,0,,notEB,[2.780633  2.7829428 2.8062444 2.7113266 2.6955037],/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000279955276-0139-s_lc.fits
TIC 279955276,1090.1994213980186,0.12158467096286565,3,3,0,,notEB,[3.474764  3.4786062 3.5710957 3.4686408 3.4129207],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000279955276-0140-s_lc.fits
TIC 279955276,400.1236569556392,0.10456372368739428,5,5,1,,notEB,[5.36220449 5.35715264 5.67227353 5.24415674 5.58204067],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000279955276-0140-s_lc.fits
TIC 279955276,265.4976204852518,0.1061469263501754,5,5,2,,EB,[5.51802812 5.51262099 5.84990316 5.39167851 5.75332457],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000279955276-0140-s_lc.fits
TIC 279955276,934.8680332733148,0.04333945765181052,2,2,0,,notEB,[2.3578656 2.3878438 2.4225438 2.3181608 2.3480976],/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000279955276-0144-s_lc.fits
TIC 279955276,604.5427934795789,0.3648984340096825,2,2,0,,notEB,[2.6979344 2.783862  2.8635938 2.7003562 2.7430933],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000279955276-0146-s_lc.fits
TIC 55384162,17.607571693840846,0.1126586042257712,13,4,0,,notEB,[ 3.2445078   2.8850727  13.01941     3.1418252   0.76766294],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000055384162-0120-s_lc.fits
TIC 55384162,132.50538546594805,0.033633807141439605,10,2,0,,notEB,[ 0.22708543  1.636781   10.824129    1.026805    0.64465034],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000055384162-0121-s_lc.fits
TIC 55384162,74.69708505914566,0.03812822753987327,20,4,0,,notEB,[ 0.22442526  0.18146414 20.522089    0.10427646  0.23933564],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000055384162-0123-s_lc.fits
TIC 55384162,209.7891025625735,-0.0006811180757617471,21,5,0,,notEB,[ 1.2004402  1.0102916 21.679651   1.3095577  1.2602457],/astro/store/epyc2/projects2/tess/sector004/tess2018292075959-s0004-0000000055384162-0124-s_lc.fits
TIC 55384162,209.7891025625735,-0.0006811180757617471,36,8,1,,notEB,[ 1.02143275  0.69351089 36.338981    1.20961212  1.12507694],/astro/store/epyc2/projects2/tess/sector004/tess2018292075959-s0004-0000000055384162-0124-s_lc.fits
TIC 55384162,88.55340944979919,0.1874640675743507,21,4,0,,notEB,[ 0.05087576  0.02466399 21.952217    0.03551856  0.02812137],/astro/store/epyc2/projects2/tess/sector005/tess2018319095959-s0005-0000000055384162-0125-s_lc.fits
TIC 55384162,1706.098621202228,0.28356010604633497,3,2,0,,notEB,[2.322027  2.358034  3.0226762 1.4659011 2.0838866],/astro/store/epyc2/projects2/tess/sector006/tess2018349182459-s0006-0000000055384162-0126-s_lc.fits
TIC 55384162,29.699945159519103,0.41276366223379796,4,1,0,,notEB,[0.06941571 0.10059743 4.6078115 ],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000055384162-0131-s_lc.fits
TIC 55384162,9.107103631100358,0.23087990954052354,5,2,0,,notEB,[0.7347376 0.6258431 5.337098 ],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000055384162-0136-s_lc.fits
TIC 55384162,234.61745674986855,0.04521862832590241,1,0,0,,notEB,[0.41012195 0.5162885  1.4104792  0.32514787 0.5974053 ],/astro/store/epyc2/projects2/tess/sector009/tess2019058134432-s0009-0000000055384162-0139-s_lc.fits
TIC 55384162,1416.0733271404133,0.0797163145642785,20,15,0,,EB,[10.279592 19.371994 20.833519 13.863107 13.459173],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000055384162-0143-s_lc.fits
TIC 55384162,934.8680332733148,0.04333945765181052,19,15,0,,EB,[14.386431  14.687871  19.082876  16.015059  13.9823675],/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000055384162-0144-s_lc.fits
TIC 55384162,604.5427934795789,0.3648984340096825,4,1,0,,notEB,[0.35965058 0.15156184 4.096384   1.962893   0.2152091 ],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000055384162-0146-s_lc.fits
TIC 30313682,2894.5923010975193,0.4569250009491028,4,4,0,,EB,[4.2637663 4.2614107 4.323923  4.2853274 4.272964 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000030313682-0120-s_lc.fits
TIC 30313682,1452.1954810481473,0.21922708133758292,4,4,0,,notEB,[4.536276  4.48155   4.552497  4.442485  4.4998713],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000030313682-0121-s_lc.fits
TIC 30313682,2536.3407466295607,0.1611454077901882,4,4,1,,EB,[4.83115531 4.88944358 4.97682728 4.95096693 4.94388791],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000030313682-0121-s_lc.fits
TIC 30313682,2369.0459654883944,0.3508762399471748,4,4,0,,EB,[4.5223827 4.577664  4.670965  4.543858  4.573127 ],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000030313682-0123-s_lc.fits
TIC 30313682,2241.2909595037486,0.2639032321847543,4,4,0,,EB,[4.470025  4.4562597 4.5517344 4.466033  4.5138435],/astro/store/epyc2/projects2/tess/sector004/tess2018292075959-s0004-0000000030313682-0124-s_lc.fits
TIC 30313682,2351.3635081499638,0.32624309129248724,4,4,0,,EB,[4.6829743 4.6970797 4.7621455 4.6898365 4.7276   ],/astro/store/epyc2/projects2/tess/sector005/tess2018319095959-s0005-0000000030313682-0125-s_lc.fits
TIC 30313682,2125.35326043561,0.3957449625768686,5,4,0,,EB,[4.9114084 4.9734335 5.021561  4.989345  4.9620676],/astro/store/epyc2/projects2/tess/sector006/tess2018349182459-s0006-0000000030313682-0126-s_lc.fits
TIC 30313682,2299.7524879179896,0.20010943549040852,4,4,0,,EB,[4.6233315 4.5879006 4.675376  4.620371  4.6166654],/astro/store/epyc2/projects2/tess/sector007/tess2019006130736-s0007-0000000030313682-0131-s_lc.fits
TIC 30313682,1882.0312662791766,0.4085429753320589,4,4,0,,EB,[4.689985  4.687259  4.7405972 4.6246824 4.6617556],/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000030313682-0136-s_lc.fits
TIC 30313682,2511.5057597320833,0.4708718565448131,4,4,0,,EB,[4.674931  4.551766  4.74456   4.6646996 4.6851363],/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000030313682-0140-s_lc.fits
TIC 30313682,2598.517487238769,0.47605048115584603,4,4,0,,EB,[4.308023 4.271885 4.351926 4.280333 4.292054],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000030313682-0143-s_lc.fits
TIC 30313682,2627.308371726123,0.48162077542818105,4,4,0,,EB,[4.4361353 4.3504324 4.4511204 4.4025407 4.349107 ],/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000030313682-0144-s_lc.fits
TIC 30313682,2524.438086043649,0.4671634849768062,4,4,0,,EB,[4.5040846 4.5067616 4.588349  4.4708524 4.4454627],/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000030313682-0146-s_lc.fits
TIC 31850842,5587.290286812347,0.404660121470633,6,6,0,,EB,[6.1570573 6.1783276 6.192645  6.1449933 6.103772 ],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000031850842-0120-s_lc.fits
TIC 31850842,4718.8068639945395,0.2384360287336869,6,6,0,,EB,[6.3772407 6.3787704 6.3809123 6.328691  6.305483 ],/astro/store/epyc2/projects2/tess/sector002/tess2018234235059-s0002-0000000031850842-0121-s_lc.fits
TIC 31850842,4409.163421270354,0.21977070076519206,6,6,0,,EB,[6.1552935 6.22176   6.23654   6.221821  6.21241  ],/astro/store/epyc2/projects2/tess/sector003/tess2018263035959-s0003-0000000031850842-0123-s_lc.fits
TIC 300560295,53.40089648894654,0.3376644076312182,9,8,0,,notEB,[8.934204  8.907801  9.243385  8.696476  8.2176895],/astro/store/epyc2/projects2/tess/sector001/tess2018206045859-s0001-0000000300560295-0120-s_lc.fits
