Filename,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000356896561-0152-s_lc.fits,1446,TIC 356896561,7902.060039327959,0.3271411765910369,5,5,0,,EB,[5.231236  5.238903  5.280489  5.244021  5.2251916]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000359631862-0152-s_lc.fits,1471,TIC 359631862,3811.2815573017206,0.11264530894119468,4,3,0,,EB,[3.2461634 4.4586997 4.8976073 1.8942972 3.391411 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000359675849-0152-s_lc.fits,1469,TIC 359675849,3543.5948552544514,0.2713681035979585,5,5,0,,EB,[5.1290083 5.234315  5.2399945 5.190253  5.157019 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000362259855-0152-s_lc.fits,1496,TIC 362259855,114.70701694161663,0.21888646801505635,4,3,0,,notEB,[2.0959475 2.4779787 4.188992  3.1740394 2.8457131]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000367838105-0152-s_lc.fits,1508,TIC 367838105,174.66298025117314,0.12125184789097462,3,3,0,,notEB,[3.1526935 3.1029234 3.1914964 2.9816546 2.9581294]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000377104904-0152-s_lc.fits,1444,TIC 377104904,76.702081130925,0.026275158171825897,5,4,1,,notEB,[3.14273661 3.23496079 5.01713561 4.51972686 3.35745433]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000377190161-0152-s_lc.fits,1457,TIC 377190161,8014.2486636960375,0.44297241843497404,4,4,0,,EB,[4.777201  4.779669  4.805952  4.7773514 4.777023 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000377192659-0152-s_lc.fits,1455,TIC 377192659,25062.53448355226,0.3887211962291954,4,4,0,,EB,[4.2663574 4.2613816 4.267971  4.2672915 4.261885 ]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000377192675-0152-s_lc.fits,1503,TIC 377192675,89.18527176833145,0.05966817446983243,6,3,2,,notEB,[3.48396413 2.45677439 6.26571456 2.81851883 4.22842884]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000377307592-0152-s_lc.fits,1510,TIC 377307592,7378.702509953146,0.4029346331103175,3,3,0,,EB,[3.6013696 3.5670452 3.6109202 3.546203  3.5397775]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000392536805-0152-s_lc.fits,1473,TIC 392536805,82.78768649543763,0.031184552199631163,10,9,1,,EB,[ 8.33763532  9.0561487  10.48303205  9.69916425  9.30710196]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000394130313-0152-s_lc.fits,1477,TIC 394130313,105.42480652431955,0.06023419382277695,3,3,1,,notEB,[3.00373418 2.90564661 3.81412051 2.63498272 3.46110158]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000420114772-0152-s_lc.fits,1513,TIC 420114772,304.1072573037949,0.14937233380154294,7,6,1,,notEB,[5.80835668 6.56889491 7.03985131 6.33612842 6.47004797]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000424439457-0152-s_lc.fits,1504,TIC 424439457,1001.1207087185654,0.2044539770531308,12,12,0,,EB,[12.272746 12.332905 12.375775 12.101015 12.006303]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000441739153-0152-s_lc.fits,1479,TIC 441739153,2991.890510101368,0.327834537036981,6,6,0,,EB,[6.036148  6.034375  6.083897  6.0088496 6.0123816]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000000441797545-0152-s_lc.fits,1499,TIC 441797545,106.62319844616621,0.050936825253136066,4,4,1,,notEB,[4.55602263 4.48456268 4.66998155 3.99274    4.02547105]
/astro/store/epyc2/projects2/tess/sector016/tess2019253231442-s0016-0000001400770435-0152-s_lc.fits,1460,TIC 1400770435,68.9406351486362,0.046411198939014735,9,8,0,,notEB,[8.985012 8.120017 9.004096 8.626492 6.878661]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000160472514-0161-s_lc.fits,1534,TIC 160472514,7304.831479243173,0.5431027807852812,3,3,0,,EB,[3.0041063 3.0027874 3.0087495 3.002614  2.9921668]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000160585813-0161-s_lc.fits,1529,TIC 160585813,195.38787253385516,0.1764137790211171,6,5,2,,notEB,[5.76862469 6.02983643 6.21091341 5.45228521 5.82012829]
/astro/store/epyc2/projects2/tess/sector017/tess2019279210107-s0017-0000000160618494-0161-s_lc.fits,1570,TIC 160618494,2138.8643951706385,0.1846305087425932,8,8,0,,EB,[8.642175 8.638595 8.671225 8.557436 8.529479]
