,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
3235,TIC 236777961,574.469877532423,0.18386429644963914,3,3,0,,notEB,[3.482849  3.3839152 3.6246252 3.3694146 3.4436972],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000236777961-0177-s_lc.fits
3236,TIC 236777961,574.469877532423,0.18386429644963914,7,1,1,,notEB,[-0.46312174 -0.01968337  7.85873245 -0.20389737 -0.28230916],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000236777961-0177-s_lc.fits
3237,TIC 353854078,7090.802613661506,0.44331712263048917,3,3,0,,EB,[3.2262182 3.222022  3.2322946 3.2247603 3.2238376],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000353854078-0177-s_lc.fits
3238,TIC 230114503,131.48389942032122,0.15957135723506768,9,8,0,,notEB,[8.880301 8.553601 9.585672 8.759925 8.141101],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000230114503-0177-s_lc.fits
3239,TIC 259006185,907.6699890544676,0.25015186876880535,6,6,0,,notEB,[6.4860826 6.426814  6.72676   6.470314  6.568985 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000259006185-0177-s_lc.fits
3240,TIC 259006185,869.1321708061469,0.20024492116039377,6,6,1,,EB,[6.41344843 6.35119631 6.66624147 6.39968358 6.50350493],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000259006185-0177-s_lc.fits
3241,TIC 259006185,907.6699890544676,0.25015186876880535,6,6,0,,notEB,[6.4860826 6.426814  6.72676   6.470314  6.568985 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000259006185-0177-s_lc.fits
3242,TIC 259006185,869.1321708061469,0.20024492116039377,6,6,1,,EB,[6.41344843 6.35119631 6.66624147 6.39968358 6.50350493],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000259006185-0177-s_lc.fits
3243,TIC 198242676,15258.787749773182,0.3976002271133596,4,4,0,,EB,[4.398193  4.405394  4.406295  4.403774  4.4052744],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000198242676-0177-s_lc.fits
3244,TIC 377192659,19542.59190465927,0.34761266589062195,4,4,0,,EB,[4.3718376 4.366791  4.405918  4.3822594 4.390019 ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000377192659-0177-s_lc.fits
3245,TIC 232621005,386.0271791427339,0.0861364676988427,3,3,0,,notEB,[3.28603   2.9039018 3.3734968 3.2286654 3.0330575],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621005-0177-s_lc.fits
3246,TIC 232621005,119.77191812968884,0.1694316426285882,5,5,1,,notEB,[5.43697532 4.21563588 5.7165328  5.25362918 4.628437  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621005-0177-s_lc.fits
3247,TIC 232621005,119.77191812968884,0.1694316426285882,8,1,2,,notEB,[-0.67601454  0.03494779  8.49532829  0.03494779  0.03494779],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621005-0177-s_lc.fits
3248,TIC 232621005,386.0271791427339,0.0861364676988427,3,3,0,,notEB,[3.28603   2.9039018 3.3734968 3.2286654 3.0330575],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621005-0177-s_lc.fits
3249,TIC 232621005,119.77191812968884,0.1694316426285882,5,5,1,,notEB,[5.43697532 4.21563588 5.7165328  5.25362918 4.628437  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621005-0177-s_lc.fits
3250,TIC 232621005,119.77191812968884,0.1694316426285882,8,1,2,,notEB,[-0.67601454  0.03494779  8.49532829  0.03494779  0.03494779],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000232621005-0177-s_lc.fits
3251,TIC 320474096,119.77191812968884,0.1694316426285882,8,2,0,,notEB,[0.63667756 0.7038301  8.843338   0.76946324 0.661429  ],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000320474096-0177-s_lc.fits
3252,TIC 377190161,6041.075711627947,0.42180307213630447,4,4,0,,EB,[4.712831  4.7099657 4.7602124 4.723725  4.7341404],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000377190161-0177-s_lc.fits
3253,TIC 229585356,2202.0635478278796,0.6320709273680318,3,3,0,,EB,[3.9008436 3.8905094 3.9108014 3.909465  3.8848343],/astro/store/epyc2/projects2/tess/sector023/tess2020078014623-s0023-0000000229585356-0177-s_lc.fits
