,Unnamed: 0,Obj ID,BLS Max Pow,ACF Max Pow,Max SD,AvgMax SD,Times Smoothed,Flag,Classification,SD Range,Filename
56363,56363,TIC 309658221,384.079347849047,0.1214157624695075,7,6,1,,notEB,[6.38148763 6.68891356 7.09918406 6.50764635 6.19676977],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000309658221-0143-s_lc.fits
56364,56364,TIC 309658221,379.4400082752346,0.11519650170586936,6,6,2,,EB,[6.17507761 6.479133   6.8829912  6.2923097  5.97708395],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000309658221-0143-s_lc.fits
56536,56536,TIC 382517745,621.0968992862632,0.16383916929781836,12,12,0,,EB,[12.707634 12.700611 12.832075 12.704535 12.625051],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000382517745-0143-s_lc.fits
56631,56631,TIC 140659980,227.39353744480462,0.1982206485627991,8,8,0,,notEB,[8.629436 8.619811 8.691579 8.450476 8.311238],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000140659980-0143-s_lc.fits
56632,56632,TIC 140659980,424.4665989131287,0.12927688711685198,9,9,1,,EB,[9.39354639 9.66008012 9.96132116 9.53792266 9.90467087],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000140659980-0143-s_lc.fits
56682,56682,TIC 278683641,2786.6442260236745,0.311549416316802,6,6,0,,EB,[6.2910786 6.2581244 6.307241  6.2904015 6.234753 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000278683641-0143-s_lc.fits
56805,56805,TIC 349832824,2550.594484529809,0.2436156187103748,4,4,0,,EB,[4.4986863 4.697727  4.7740693 4.7091293 4.7457023],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000349832824-0143-s_lc.fits
57105,57105,TIC 150442264,3827.397757443725,0.5892303951598554,3,3,0,,EB,[3.631523  3.58244   3.6763873 3.5695128 3.5982914],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000150442264-0143-s_lc.fits
57136,57136,TIC 260504147,2882.061141362088,0.22671328901464816,7,7,0,,EB,[7.874753  7.8663297 7.8748155 7.800089  7.739755 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000260504147-0143-s_lc.fits
57177,57177,TIC 260161144,9945.844044966538,0.2725196321080938,4,4,0,,EB,[4.418232  4.439087  4.4433722 4.434085  4.421608 ],/astro/store/epyc2/projects2/tess/sector011/tess2019112060037-s0011-0000000260161144-0143-s_lc.fits
